abandon	vt. 抛弃，放弃
abashed	adj. 羞愧的，局促不安的
abate	vt. 减少
abdicate	vt.放弃权力
abduct	vt. 绑架；诱拐
abhor	vt, 憎恶，厌恶
abhorrent	adj. 可恶的，可恨的，讨厌的
abide	vi.vt. 遵守，忍受
ability	n. 能力，能够
ablaze	adj. 闪耀的，着火的
abnormal	adj. 异常的，不正常的， 
abolish	vt. 废除，取消
aboriginal	adj. 土著，原始的，原来的
abortive	adj. 失败的，未成功的
abridge	vt. 缩短，删节
absolute	adj. 绝对的，独立的
absolve	vt. 赦免，解除，免除
absorb	vt. 吸收，吸引，并吞
absorbing	adj. 十分吸引人
abstain	vi. 戒绝，禁绝
abstinence	n. 禁戒，节制
abstract	adj.摘要，抽象的。反：concrete
abstraction	n. 抽象概念，摘要
abstruse	adj. 深奥的，难解的
absurd	adj. 荒谬的，不合理的，荒唐的
abundant	adj. 充裕的，丰富的
abuse	v. 滥用，虐待, 剥夺
academic	adj. 学院的，理论的
accelerate	v. 加速，增速，进行，迫使
accentuate	v. 重读，强调，
access	n. 接近，通路，入门
accidental	adj. 偶然的， 意外的
acclaim	v. 喝彩，欢呼，称赞
accommodate	v. 供应，容纳
accompany	v. 伴随，陪伴
accomplice	n.从犯，帮凶，同谋
accomplished	adj. 完成的，熟练的
accost	v. 向人搭话
account	n. 描述，原因，户头，账目
accredit	vt. 归功于，认为
accumulate	v. 积聚
accurate	adj. 准确的，正确的
accusation	n.控告，指责，谴责
accuse	v. 控告，归咎
accustom	v. 习惯
achieve	v. 完成，实现，达到
acid	adj.酸的，尖酸的，刻薄的
acknowledge	v. 承认，属实，供认
acquire	v. 获得，得到
acquisitive	adj. 贪得无厌的，可获得的
acquit	adj. 宣告无罪
acrid	adj. 辛辣的，尖刻的， 刻薄的
acrimonious	adj. 尖酸的，刻薄的
acrimony	n. 刻薄，暴烈，尖刻
acting	adj. 代理的
action	n. 作用，行动
active	adj. 活动的，活跃的
actual	adj. 实际的，现行的
acumen	n. 敏锐, 精明，聪明
acute	adj. 敏锐的，急性的
adage	n. 格言，谚语
adapt	v. 使适应，改编
adaptable	adj. 能适应的， 可改写的
adaptation	n. 适应，改写
addict	v. 对…有隐，沉溺于...着
addicted	adj. 沉溺的，上瘾的
adept	adj.擅长的，熟练的
adequate	adj. 足够的，充分的
adhere	v. 黏着，粘附，坚持
adherence	n. 依附的，信奉的
adhesive	n. 粘着的，粘着物
adjacent	adj. 邻近的，附近的，毗连的
adjoin	v. 贴近，靠近
adjoining	adj. 接近的，邻近的，相连的
adjourn	v. 延期，停止，休会
adjust	v. 调节，使适于
administer	v. 管理，照料， 执行
administration	n. 行政，管理部门
admirable	adj.可敬的，极好的，令人钦佩的
admire	v. 钦佩，赞美，夸奖
admit	v.承认
admonish	v.警告，劝告，提醒
adopt	v. 采用， 收养
adore	v. 敬爱， 极喜爱
adroit	adj. 熟练的，机敏的，灵巧的
advance	n. 提出，前进
adverse	adj. 敌对的，不利的， 相反的
adversity	n. 不幸，逆境
advice	n. 建议， 忠告
advisable	adj. 合理的，可取的，适当的
advise	v. 告知，劝告
advocate	n. 辩护着，拥护
aesthetic	adj. 审美的，美学的
affable	adj. 和蔼可亲的
affect 	vt. 影响，感动
affection	n.爱，情感
affectionate	adj. 挚爱的，亲切的
affiliate	v.加盟，入会
affinity	n.类似处，密切关系
affirm	v. 断言，比准，证实
afflict	vt. 使痛苦，折磨
afflicting	痛苦的
affluence	n. 丰富，富裕，流入
affluent	adj.富裕的
afford 	v. 付的起，提供
age	v.老化
aged	adj.成年的，老年的
agenda	n.议程
aggravate	v. 恶化，加重
aggregate	n.总数，总计
aggression	n. 侵犯，侵害
aggressive	adj.好斗的，
aghast	adj.惊骇的，恐怖的
agile	adj.敏捷的，活泼轻快的
agility	n. 敏捷，活泼
agitate	v. 煽动，搅动，激起
agonize	v. 使受苦，使苦闷
agrarian	adj. 土地的， 农业的
agreeable	adj. 宜人的，令人愉快的
aim 	v. 打算，意欲，目的，瞄准
alert	adj. 机敏的
algebra	n.代数
alien	n. 外国的， 陌生的
alienate	v. 使疏远
alkali	n.碱
allege	v. 宣称，主张
allegiance	n. 忠诚
allegory	n. 讽喻，寓言
alleviate	v. 使减轻
alliance	n. 联盟，同盟
allocate	vt. 分配，定位置
allot	v. 分配，指派
allude	v. 提及，暗指
allure	v. 引诱，诱惑，吸引
allusion	n.引示， 暗指
ally	v. 同盟，结盟
alone	adj. 单独的
alter	v. 改变
alternate	n.替代物，v. 轮流,adj. 交替的
alternative	n.可选事务，adj.两者条一的
altruism	n.利他主意
aluminium	n. 铝
alumnus	n. 男校友
amalgamate	v. 混合，合并
amass	vt. 收集，积聚
amateur	n. 业余的，业余爱好者
amazed	adj. 惊愕的
ambiguous	adj. 含糊的，
ambitious	adj. 有野心的，雄心的
amenable	adj. 有责任的，肯接受的
amend	v. 修正，改进, 订正
amiable	adj. 友善的，和蔼的
amicable	adj. 和平的， 和善的
amount	n. 量，总数，数量
ample	adj. 充足的，足够的
amplify	vt. 放大， 扩大
analogous	adj.类似的，相似的
analogy	n. 类似，类推
analysis 	n. 分析，分解，解析 （复数 analyses)
anecdote	n. 轶闻，轶事
angle	n.角度，角
anguish	n.极度的痛苦，苦闷，苦恼
animated	adj.有生气的， 热烈的，活跃的
annex	v. 附加，附件
annihilate	v. 销减，歼灭
annotate	v. 注解
announce	v. 宣布，通告
annoy	v. 使恼怒，打扰
annually	adv. 每年的
annul	vt. 废除，取消
anomalous	adj. 反常的，不规则的
anomaly	n. 异立，异常，变态
anonymous	adj. 匿名的
antagonism	n. 敌对，对立，对抗
antagonist	n. 敌手，对手
anticipate	v. 预料，预期，期望
antique	adj. 古代的
antiquity	n. 古代
antiseptic	adj. 防腐的，杀菌的
anxious	adj. 渴望的
apathetic	adj.冷淡的
aperture	n. 孔，开口
apex	n. 顶点， 最高点
apologize	vi. 道歉
apparel	n. 服装，衣服
appeal	n. 呼吁，申述
appear	vt. 出现，似乎
applaud	v. 喝彩，欢呼
applicant	n. 申请人
application	n. 请求，神情，施用
appoint	n.任命，委任， 约定，
appraise	v. 鉴定，评价
appreciate	v. 重视，感激
apprehend	v. 忧虑，畏惧，捕捉
apprehension	n. 担心，害怕
apprentice	n.学徒
appropriate	adj. 适当的,恰当的,拨款,挪用,没收
approve	v. 赞成，称许，批准
approximate	adj.近似的，大约的
apt	adj. 有倾向的
aptitude	n. 才能，自然倾向
arable	adj. 适于耕种的
arbitration	n. 调停，仲裁
arbitrator	n. 仲裁着
archaic	adj. 古的
ardent	adj. 及热情的，热情的
ardor	n. 热心
arduous	adj. 险峻的，困难的
arid	adj. 干旱的
aristocrat	n. 贵族
arithmetic	n. 算术
armament	n. 兵力，军力
armor	n. 装甲，武器
aroma	n. 香气， 芬芳，芳香
arouse	vt. 唤起
arrange	v. 排列
array	vt.装扮，队列，排列
arrogance	n. 傲慢
arrogant	adj. 傲慢的
article	n. 论文， 物品
ascend	v. 攀登， 攀高，追述
ascent	n. 攀登，上升
ascertain	vt. 确定，探知
ascetic	adj. 苦行的
aspect	n. 方面，样子，外表
asperse	v. 诽谤
aspersion	n. 诽谤
aspiration	n. 热望， 渴望
aspire	vi. 热望
assail	vt. 猛击，绝然面对
assassin	n. 刺客
assassinate	vt. 暗杀， 行刺
assault	v. 袭击，攻击
assemble	vt. 聚集
assembly	n. 集会
assert	v. 断言，宣称，维护
assess	vt. 估计
asset	n. 财产，财富
assiduous	adj. 勤勉的
assign	vt. 分配，指派
assimilate	v. 吸收
assist	v. 补助
associate	v. 联合，伙伴
association	n. 协会，关联
assuage	vt.缓和
assumption	n. 就职，假设
assure	vt. 使确信，向保证
astonish	vt. 使惊讶
astonished	adj. 惊讶的
astound	v. 使惊异
astronomy	n. 天文学
astute	adj. 机敏的，狡猾的
atheism	n. 无神论
athlete	n. 运动员
atmosphere	n. 气氛，大气层
atom	n.原子
attachment	n.连接物，附件
attainment	n. 成就
attend	vt. 参加
attendant	n. 侍者，服务人员
attorney	n. 代理人，辩护律师
at`tribute	v. 归因于
`attribute	n. 性质
attrition	n. 磨损
audience	n.观众
audit	n. 审查，查账
audition	n. 试听， 面试
auditor	n.审计员，旁听着
auditorium	n. 大礼堂，观众席
augment	v. 增大，增加
aura	n. 气味，气氛
auspices	n. 前兆，赞助，保护，主办
auspicious	n. 吉兆的，幸运的
austerity	n. 节俭，严峻
authentic	adj. 可靠，又根据，真实的
authoritative	adj. 权威性的，官方的
authority	n. 权威
authorize	v. 授权
autocrat	n. 独裁者
autonomy	n. 自治权
available	adj. 可用的
avalanche	n. v. 雪崩
avarice	n. 贪婪，贪财
avaricious	adj. 贪婪的， 贪心的
average	adj. 一般的，平均的
aversion	n. 厌恶
avert	v. 转移，避免，防止
aviator	n. 飞行家，飞行员
avid	adj. 热切的，贪婪的
avoid	vt. 避免。回避，躲开
avow	v. 公开，承认
awe	n. v.  敬畏
awkward	adj. 笨拙的，尴尬的
axis	n.轴
baby-sit	v. 看管，照顾婴儿
backward	adj. 退步的，相反的
baggage	n. 行李
bait	n. 诱饵
balance	n. 平衡
bald	adj. 秃头的，光秃的
balk	v. 妨碍
ballot	n. 选票
balmy	adj. 温和的，芳香的
ban	v. 禁止，禁令
bandit	n. 强盗
banish	vt. 驱逐出境
bankruptcy	n. 破产
banquet	n. 宴会
bar	n. 法院
barbarian	n. 野蛮人
bare	adj。 露出，空的
barely	adv. 仅仅
barometer	n. 气压计
barren	n. 贫瘠的，不孕的
barricade	n. 障碍物
barrier	n. 栅栏，屏障，障碍
barter	n.易货，易货贸易
bashful	adj. 害羞的，胆小的
basin	n. 盆地
bask	vt. 取暖，晒太阳，沐浴于
baste	vt. 殴打，公开责骂
batter	v. 击破，捣坏，炮击
bear	v. 具有，带有，支撑
beat	adj. 疲倦的
becoming	adj. 合适的，相称的
beforehand	adv. 事先的
befuddle	vt. 使混乱
beget	vt. 引起，产生
begrudge	vt. 羡慕，嫉妒
beguile	vt. 欺骗，消遣
behave	v. 举止端正，表现，运转
behaviour	n. 行为
belie	v. 掩饰
believer	n. 信徒
belittle	vt. 轻视
belligerent	adj. 好战的，交战的
benefactor	n. 恩人，行善的人，捐助人 (女性，benefactress)
beneficial	adj. 有益的
beneficiary	n.受益者，受惠着
benefit	n. 利益，对有益处
benevolent	adj. 慈善的
benign	adj. 亲切的，良好的
bent	n. 倾向，爱好
bequest	n. 遗产，遗传
berate	vt. 痛骂
bereave	vt. 剥夺
beset	v. 包围
besides	adj. 除了
besiege	vt. 围，包围
bestow	v. 赠与，利用
betray	vt. 背叛，泄露
beverage	n. 饮料
bewilder	vt. 迷惑，把弄糊涂
bias	v. 偏见，使偏离
bicker	v. 争吵
bidding	n. 邀请，投标，命令，要求
bigoted	adj. 固执己见的
bill	n. 钞票，账单，法案
biochemistry	n. 生物化学
bizarre	adj. 古怪的
blackmail	vt. 勒索 
blame	vt. 谴责
bland	adj.无刺激性的
blast	n. 一阵，爆破
